2036	Reden
2022	sprachen
2019	unterscheiden
2012	Essen
2010	Beziehungen
1992	Ganzen
1991	Pflanzen
1977	treiben
1977	fühlen
1974	Gewissen
1972	behalten
1971	versuchen
1965	grünen
1960	wagen
1958	werfen
1951	gestorben
1950	fielen
1934	gestanden
1926	Gnaden
1921	gaben
1918	Folgen
1914	verschieden
1908	Helden
1905	bewegen
1899	fehlen
1887	gelesen
1883	Meilen
1879	Fällen
1876	früheren
1875	Verlangen
1874	hinten
1872	Haben
1869	rufen
1859	gefangen
1859	Bogen
1852	umgeben
1845	Rosen
1843	beweisen
1843	aufgenommen
1834	weichen
1824	versehen
1818	Wollen
1814	Handlungen
1813	schließen
1813	Bergen
1806	wohnen
1805	besonderen
1785	Bewegungen
1779	Westen
1777	ergriffen
1776	leisten
1770	beginnen
1769	zahlreichen
1762	Norden
1753	vollen
1748	trugen
1743	Hafen
1738	retten
1737	entschlossen
1732	Verbrechen
1732	Blicken
1730	angesehen
1729	behaupten
1729	Sklaven
1726	Erden
1719	Haufen
1717	bestimmen
1715	getrieben
1710	halben
1706	Empfindungen
1704	öffentlichen
1704	Erstaunen
1702	Vermögen
1696	vorigen
1695	geworfen
1688	antworten
1687	weinen
1686	feinen
1680	Ansehen
1678	Reihen
1676	Schmerzen
1676	Goten
1665	letzteren
1663	Ehren
1661	Freunden
1660	ertragen
1658	Umständen
1657	Osten
1657	Kleinen
1656	wirken
1655	offenen
1653	Schriften
1650	Freuden
1649	fürchten
1646	eigen
1645	aufgehoben
1640	fuhren
1635	Eisen
1634	Schwierigkeiten
1627	grauen
1621	entstanden
1612	schoen
1612	brachten
1598	besuchen
1596	wirklichen
1592	richten
1589	hoffen
1585	folgten
1583	Kranken
1579	Familien
1577	begreifen
1569	Quellen
1566	Stufen
1565	schönsten
1562	gewöhnlichen
1559	weiteren
1554	schmalen
1553	Schreiben
1549	heutigen
1548	goldenen
1548	bemerken
1547	gezwungen
1543	Burschen
1538	Rechten
1535	Schaden
1534	riefen
1533	bösen
1531	Allgemeinen
1529	schoenen
1528	hoeren
1527	bißchen
1520	gebunden
1514	bieten
1514	Millionen
1514	Griechen
1512	außen
1512	anzusehen
1512	Bäumen
1505	Interessen
1503	ausgesprochen
1501	Süden
1497	entschieden
1496	eigentlichen
1491	Wellen
1489	wenden
1489	stehenden
1489	begegnen
1488	höheren
