1433	mag
1423	denken
1421	niemals
1420	hörte
1413	d
1404	fühlte
1403	Nicht
1402	nehmen
1397	trat
1397	darüber
1394	reinen
1391	wer
1386	Himmel
1381	ebenso
1377	sogar
1374	Mein
1366	sagt
1365	An
1361	Nach
1359	gekommen
1359	daher
1356	voll
1355	Einheit
1351	Namen
1348	unserer
1347	Begriffe
1344	saß
1340	Zimmer
1337	anders
1327	zugleich
1323	allem
1311	Sein
1305	Kraft
1301	Am
1298	Nur
1287	neue
1286	sieht
1286	Alles
1285	Junge
1281	erste
1280	antwortete
1277	Tom
1275	Hände
1269	besser
1269	Glück
1260	König
1258	Jetzt
1255	beide
1253	Gegenstand
1250	gern
1248	the
1248	Land
1245	Luft
1240	Jahre
1240	Euch
1239	je
1233	ihres
1230	Freund
1229	deine
1226	lieber
1225	dein
1220	Stunde
1213	letzten
1208	Zu
1208	Erscheinungen
1207	läßt
1205	Stelle
1202	Ist
1201	hab
1192	könne
1189	zog
1189	darf
1188	schön
1188	Sonne
1185	heißt
1183	Anschauung
1181	neben
1178	Bewegung
1177	darum
1176	hinaus
1176	Fenster
1173	Licht
1171	Wirklichkeit
1171	Form
1170	unser
1170	scheint
1167	priori
1165	bringen
1163	hinein
1162	halten
1144	fiel
1141	Boden
1140	kamen
1134	oben
1132	jedem
1131	möchte
1129	setzte
1129	bleiben
1127	paar
1123	Erkenntnis
1119	jeden
1114	Reihe
1108	lang
1102	sollen
1100	Freude
1099	etwa
1099	Teil
1096	gute
1096	Auge
1092	Abend
1091	Tod
1090	Arbeit
1085	Herzen
1083	guten
1081	Sinn
1080	anderes
1078	Wo
1068	fest
1068	Dasein
1065	gewiß
1061	niemand
1058	Frage
1057	schwer
1057	hören
1054	Bruder
1054	Bei
1052	neuen
1050	wenigstens
1050	heraus
1047	schnell
1041	Um
1034	Macht
1032	sprechen
1030	Platz
1025	i
1025	Grund
1019	Sohn
1017	welchem
1013	seit
1012	eigenen
1010	Vorstellung
1006	besonders
1005	Morgen
1003	Lebens
1002	Gestalt
1000	jungen
1000	Jahren
1000	Für
999	still
993	Dies
991	of
989	wahr
984	gehabt
982	außer
979	Geschichte
979	Alle
977	all
977	Tür
975	bleibt
974	jede
968	reine
967	hoch
965	standen
963	natürlich
962	irgend
962	Gefühl
957	würden
957	einander
952	Grunde
952	Brust
951	Wege
950	liegen
943	wegen
940	nieder
940	legte
940	Ihre
939	Volk
938	schönen
938	Herren
937	dafür
934	tief
932	S
927	vielmehr
927	damals
926	Feuer
925	leise
924	Also
923	Frauen
918	freilich
918	Lust
917	Weib
915	mal
915	hätten
911	Sinne
909	langen
909	Freunde
906	Mund
905	weniger
904	wirst
904	trug
903	weder
899	hervor
899	Warum
899	Bedingungen
895	Erscheinung
894	Dieser
894	Aus
890	glaube
889	Bild
887	schöne
882	meines
881	Idee
878	sofort
878	bestimmt
877	langsam
876	Kunst
868	warum
868	Möglichkeit
867	später
867	Doktor
866	groß
863	Ursache
863	Angst
856	sicher
853	aufs
852	genau
851	liebe
851	Gegenstände
841	Geld
838	genommen
838	Uhr
838	Traume
836	junge
836	gingen
835	Recht
834	Männer
833	reden
830	Noch
829	Seine
828	müsse
826	brachte
825	großer
824	schlug
824	glauben
823	Gesellschaft
822	bereits
820	nächsten
817	leben
816	Raum
813	warf
813	Ausdruck
812	Stunden
812	Höhe
811	Wagen
809	lachte
806	Ruhe
804	jedes
804	Tat
803	vier
802	ruhig
801	willst
801	tat
801	giebt
799	nennen
799	geschehen
799	Tisch
799	Rede
797	klar
794	halb
794	erkennen
794	Arm
793	zeigen
793	solcher
792	völlig
791	durchaus
790	Bedeutung
789	stets
789	Tochter
788	Straße
784	vielen
784	Selbst
784	Händen
784	Freiheit
783	hohen
781	gebracht
778	Inhalt
777	gedacht
776	unten
774	notwendig
773	vergessen
772	Beziehung
771	verlassen
771	sehe
769	besten
767	sage
766	nachdem
764	jemand
764	desselben
764	dahin
760	Schwester
759	findet
758	Stück
757	Verstand
755	erhalten
755	Blut
754	Unrat
754	Dem
751	jenes
751	erschien
749	frei
748	sahen
748	allgemeinen
747	zuerst
747	Vorstellungen
741	Tagen
740	Familie
740	Antwort
736	is
735	hinauf
735	glücklich
731	rasch
731	Seiten
730	Lewin
729	Worten
728	überall
728	Bedingung
724	blickte
723	gefunden
721	zeigte
720	entgegen
720	Zarathustra
720	Garten
719	verloren
719	sogleich
719	lieben
719	früher
717	jedoch
715	Körper
713	keiner
712	gegenüber
711	mithin
710	Mir
709	Lippen
705	konnten
705	kannst
705	Dingen
703	jenen
703	andre
701	Träume
700	nein
697	wollten
697	laut
697	Menge
697	Heinrich
695	suchen
695	dagegen
